"terms","count","probability"
"right now",1271,0.00978196455096088
"dont know",1001,0.00770397050787714
"new york",952,0.00732685307042861
"cant wait",934,0.00718832013422302
"last year",898,0.00691125426181186
"last night",791,0.006087752918812
"high school",723,0.00556440627092425
"im going",711,0.00547205098012052
"years ago",702,0.00540278451201773
"first time",668,0.00514111118807385
"last week",646,0.0049717931549337
"feel like",605,0.00465624591135431
"looking forward",599,0.00461006826595245
"can get",573,0.00440996513587772
"im sure",558,0.00429452102237307
"dont think",530,0.00407902534383105
"dont want",526,0.00404824024689648
"st louis",515,0.0039635812303264
"even though",509,0.00391740358492454
"make sure",508,0.00390970731069089
"looks like",506,0.00389431476222361
"happy birthday",465,0.00357876751864422
"good morning",461,0.00354798242170965
"new jersey",416,0.00320165008119569
"just got",411,0.00316316871002748
"let know",411,0.00316316871002748
"next week",396,0.00304772459652282
"united states",373,0.00287071028914902
"good luck",372,0.00286301401491538
"every day",370,0.00284762146644809
"im just",369,0.00283992519221445
"los angeles",364,0.00280144382104623
"can see",356,0.00273987362717708
"one day",355,0.00273217735294344
"two years",352,0.00270908853024251
"next year",338,0.0026013406909715
"look like",332,0.00255516304556964
"dont get",330,0.00253977049710235
"thanks follow",324,0.00249359285170049
"mothers day",322,0.0024782003032332
"just like",311,0.00239354128666313
"many people",310,0.00238584501242948
"dont like",308,0.0023704524639622
"every time",303,0.00233197109279398
"san francisco",301,0.00231657854432669
"can make",296,0.00227809717315847
"sounds like",296,0.00227809717315847
"one thing",293,0.00225500835045754
"follow back",292,0.0022473120762239
"go back",287,0.00220883070505568
"will take",279,0.00214726051118653
"will get",276,0.0021241716884856
"long time",273,0.00210108286578467
"get back",272,0.00209338659155103
"come back",271,0.00208569031731739
"little bit",271,0.00208569031731739
"social media",269,0.0020702977688501
"great day",267,0.00205490522038281
"didnt know",265,0.00203951267191553
"last month",257,0.00197794247804638
"im gonna",255,0.00196254992957909
"will make",251,0.00193176483264452
"health care",248,0.00190867600994359
"lets go",248,0.00190867600994359
"will never",248,0.00190867600994359
"new year",247,0.00190097973570994
"just want",245,0.00188558718724266
"let us",244,0.00187789091300901
"san diego",240,0.00184710581607444
"can help",236,0.00181632071913986
"just one",236,0.00181632071913986
"pretty much",234,0.00180092817067258
"dont forget",231,0.00177783934797165
"im still",228,0.00175475052527072
"thanks rt",227,0.00174705425103707
"now im",225,0.00173166170256979
"look forward",223,0.0017162691541025
"next time",223,0.0017162691541025
"three years",219,0.00168548405716793
"dont even",217,0.00167009150870064
"year old",217,0.00167009150870064
"cant believe",214,0.00164700268599971
"last years",214,0.00164700268599971
"ive got",213,0.00163930641176606
"four years",207,0.0015931287663642
"know im",207,0.0015931287663642
"really good",207,0.0015931287663642
"will go",206,0.00158543249213056
"wait see",202,0.00155464739519599
"dont need",200,0.0015392548467287
"good thing",198,0.00152386229826141
"ive never",198,0.00152386229826141
"much better",198,0.00152386229826141
"thanks much",198,0.00152386229826141
"two weeks",198,0.00152386229826141
"join us",197,0.00151616602402777
"seems like",197,0.00151616602402777
"can go",194,0.00149307720132684
"didnt want",194,0.00149307720132684
"one best",194,0.00149307720132684
"please follow",192,0.00147768465285955
"felt like",191,0.00146998837862591
"pretty good",190,0.00146229210439226
"will always",188,0.00144689955592498
"years old",188,0.00144689955592498
"last time",186,0.00143150700745769
"thank much",186,0.00143150700745769
"anyone else",185,0.00142381073322405
"can find",184,0.0014161144589904
"five years",184,0.0014161144589904
"ice cream",183,0.00140841818475676
"thanks following",183,0.00140841818475676
"im sorry",181,0.00139302563628947
"feels like",178,0.00136993681358854
"just dont",178,0.00136993681358854
"weeks ago",178,0.00136993681358854
"cant get",177,0.0013622405393549
"can tell",176,0.00135454426512125
"need get",176,0.00135454426512125
"will help",174,0.00133915171665397
"just saw",173,0.00133145544242032
"think im",173,0.00133145544242032
"will come",173,0.00133145544242032
"great time",172,0.00132375916818668
"im glad",172,0.00132375916818668
"want go",172,0.00132375916818668
"best friend",170,0.00130836661971939
"dont care",170,0.00130836661971939
"ive ever",170,0.00130836661971939
"can say",169,0.00130067034548575
"really want",168,0.00129297407125211
"like im",165,0.00126988524855118
"trying get",165,0.00126988524855118
"us know",165,0.00126988524855118
"last season",164,0.00126218897431753
"officials said",163,0.00125449270008389
"youve got",163,0.00125449270008389
"going get",162,0.00124679642585025
"let go",162,0.00124679642585025
"happy mothers",161,0.0012391001516166
"white house",161,0.0012391001516166
"didnt get",160,0.00123140387738296
"vice president",160,0.00123140387738296
"good day",159,0.00122370760314932
"many times",158,0.00121601132891567
"take care",158,0.00121601132891567
"will continue",158,0.00121601132891567
"people dont",157,0.00120831505468203
"can take",156,0.00120061878044839
"doesnt mean",156,0.00120061878044839
"id like",156,0.00120061878044839
"youre going",156,0.00120061878044839
"want see",153,0.00117752995774745
"getting ready",151,0.00116213740928017
